Domain,Question,,,,,,,,,,,,Answer
Cybersecurity,What is cybersecurity?,Cybersecurity refers to the practice of protecting systems, networks, and data from digital attacks, unauthorized access, and damage.,,,,,,,Cybersecurity refers to the practice of protecting systems  networks  and data from digital attacks  unauthorized access  and damage.
Cybersecurity,What are the main types of cybersecurity threats?,The main types of cybersecurity threats are malware, phishing, ransomware, social engineering, denial-of-service (DoS) attacks, and insider threats.,,,,,,The main types of cybersecurity threats are malware  phishing  ransomware  social engineering  denial-of-service (DoS) attacks  and insider threats.
Cybersecurity,What is malware?,Malware (malicious software) is any software intentionally designed to cause damage to a computer, server, or network, including viruses, worms, and Trojan horses.,,,,,,Malware (malicious software) is any software intentionally designed to cause damage to a computer  server  or network  including viruses  worms  and Trojan horses.
Cybersecurity,What is phishing?,Phishing is a type of cyberattack where attackers impersonate legitimate entities to trick individuals into providing sensitive information, such as login credentials or financial information.,,,,,,,,,,Phishing is a type of cyberattack where attackers impersonate legitimate entities to trick individuals into providing sensitive information  such as login credentials or financial information.
Cybersecurity,What is ransomware?,Ransomware is a type of malware that encrypts a victim’s files and demands payment, often in cryptocurrency, in exchange for decryption keys.,,,,,,,,,Ransomware is a type of malware that encrypts a victim’s files and demands payment  often in cryptocurrency  in exchange for decryption keys.
Cybersecurity,What is a firewall?,A firewall is a network security system that monitors and controls incoming and outgoing network traffic based on predetermined security rules.,,,,,,,,,,,A firewall is a network security system that monitors and controls incoming and outgoing network traffic based on predetermined security rules.
Cybersecurity,What is encryption?,Encryption is the process of converting data into a code to prevent unauthorized access, ensuring that only authorized parties can read the data.,,,,,,,,,,Encryption is the process of converting data into a code to prevent unauthorized access  ensuring that only authorized parties can read the data.
Cybersecurity,What is two-factor authentication (2FA)?,Two-factor authentication (2FA) is a security process in which a user provides two forms of identification before gaining access to an account, typically a password and a temporary code sent to their device.,,,,,,,,,,Two-factor authentication (2FA) is a security process in which a user provides two forms of identification before gaining access to an account  typically a password and a temporary code sent to their device.
Cybersecurity,What is a VPN (Virtual Private Network)?,A VPN is a service that encrypts a user’s internet connection and routes it through a remote server, enhancing privacy and security.,,,,,,,,,,A VPN is a service that encrypts a user’s internet connection and routes it through a remote server  enhancing privacy and security.
Cybersecurity,What is a DDoS attack?,A Distributed Denial-of-Service (DDoS) attack is a cyberattack where multiple systems overwhelm a target system, such as a website or server, with excessive traffic to make it unavailable to users.,,,,,,,,,A Distributed Denial-of-Service (DDoS) attack is a cyberattack where multiple systems overwhelm a target system  such as a website or server  with excessive traffic to make it unavailable to users.
Cybersecurity,What is an intrusion detection system (IDS)?,An intrusion detection system (IDS) is a device or software application that monitors network traffic for suspicious activity and potential threats.,,,,,,,,,,,An intrusion detection system (IDS) is a device or software application that monitors network traffic for suspicious activity and potential threats.
Cybersecurity,What is an intrusion prevention system (IPS)?,An intrusion prevention system (IPS) is similar to IDS but actively works to block potential threats based on detected malicious activity.,,,,,,,,,,,An intrusion prevention system (IPS) is similar to IDS but actively works to block potential threats based on detected malicious activity.
Cybersecurity,What is social engineering?,Social engineering is the manipulation of individuals into divulging confidential information or performing actions that may compromise security.,,,,,,,,,,,Social engineering is the manipulation of individuals into divulging confidential information or performing actions that may compromise security.
Cybersecurity,What is an antivirus software?,Antivirus software is a program designed to detect, prevent, and remove malicious software from a computer or network.,,,,,,,,,Antivirus software is a program designed to detect  prevent  and remove malicious software from a computer or network.
Cybersecurity,What is a zero-day exploit?,A zero-day exploit is a cyberattack that targets a previously unknown vulnerability in software or hardware, often before developers have had a chance to fix it.,,,,,,,,,,A zero-day exploit is a cyberattack that targets a previously unknown vulnerability in software or hardware  often before developers have had a chance to fix it.
Cybersecurity,What is a botnet?,A botnet is a network of compromised computers or devices, often used to carry out DDoS attacks or distribute malware without the knowledge of the device owner.,,,,,,,,,,A botnet is a network of compromised computers or devices  often used to carry out DDoS attacks or distribute malware without the knowledge of the device owner.
Cybersecurity,What is a public key infrastructure (PKI)?,Public Key Infrastructure (PKI) is a framework that manages digital keys and certificates to provide secure communication over a network.,,,,,,,,,,,Public Key Infrastructure (PKI) is a framework that manages digital keys and certificates to provide secure communication over a network.
Cybersecurity,What is a honeypot in cybersecurity?,A honeypot is a decoy system or network setup to attract and trap attackers, allowing security professionals to study their methods.,,,,,,,,,,A honeypot is a decoy system or network setup to attract and trap attackers  allowing security professionals to study their methods.
