Domain,Question,,,,,,,,,,,,Answer
Data Engineering,What is Data Engineering?,Data engineering is the practice of designing, building, and managing systems and infrastructure for collecting, storing, processing, and analyzing data.,,,,,,Data engineering is the practice of designing  building  and managing systems and infrastructure for collecting  storing  processing  and analyzing data.
Data Engineering,What is the role of a data engineer?,A data engineer is responsible for designing, building, and maintaining systems and pipelines that enable data collection, storage, and analysis in an efficient and scalable manner.,,,,,,,A data engineer is responsible for designing  building  and maintaining systems and pipelines that enable data collection  storage  and analysis in an efficient and scalable manner.
Data Engineering,What is ETL?,ETL stands for Extract, Transform, Load. It refers to the process of extracting data from different sources, transforming it into a usable format, and loading it into a data warehouse.,,,,,,,ETL stands for Extract  Transform  Load. It refers to the process of extracting data from different sources  transforming it into a usable format  and loading it into a data warehouse.
Data Engineering,What is ELT?,ELT is similar to ETL but the data is first Extracted and Loaded into the destination system (like a data warehouse) before it is Transformed. This is usually used for larger datasets where transformation occurs after loading.,,,,,,,,,,,ELT is similar to ETL but the data is first Extracted and Loaded into the destination system (like a data warehouse) before it is Transformed. This is usually used for larger datasets where transformation occurs after loading.
Data Engineering,What is a data pipeline?,A data pipeline is a series of processes and tools used to collect, process, and transfer data from one system to another in an automated fashion.,,,,,,,,,A data pipeline is a series of processes and tools used to collect  process  and transfer data from one system to another in an automated fashion.
Data Engineering,What is a data warehouse?,A data warehouse is a large, centralized repository where data from different sources is stored, organized, and made available for analysis and reporting.,,,,,,,,A data warehouse is a large  centralized repository where data from different sources is stored  organized  and made available for analysis and reporting.
Data Engineering,What is a data lake?,A data lake is a centralized repository that allows organizations to store vast amounts of raw, unstructured, and structured data in its native format until it is needed.,,,,,,,,,A data lake is a centralized repository that allows organizations to store vast amounts of raw  unstructured  and structured data in its native format until it is needed.
Data Engineering,What is the difference between a data lake and a data warehouse?,A data lake stores unstructured or raw data and is often used for big data analytics, while a data warehouse stores structured data and is designed for querying and reporting.,,,,,,,,,,A data lake stores unstructured or raw data and is often used for big data analytics  while a data warehouse stores structured data and is designed for querying and reporting.
Data Engineering,What is Apache Kafka?,Apache Kafka is an open-source distributed event streaming platform that allows for the real-time processing of large amounts of data, often used to handle data pipelines.,,,,,,,,,,Apache Kafka is an open-source distributed event streaming platform that allows for the real-time processing of large amounts of data  often used to handle data pipelines.
Data Engineering,What is Apache Hadoop?,Apache Hadoop is an open-source framework for distributed storage and processing of large datasets across clusters of computers, using a simple programming model.,,,,,,,,,,Apache Hadoop is an open-source framework for distributed storage and processing of large datasets across clusters of computers  using a simple programming model.
